id,scot,mrac,validity,comment,proposedterm
2544,15835,AC9ADA10C01,Added,Yes,
2545,15850,AC9ADA10C01,Added,Yes,
2546,16488,AC9ADA10C01,Yes,Yes,
2547,2184,AC9ADA10C01,Yes,Yes,
2548,3702,AC9ADA10C01,Yes,Yes,
2549,4775,AC9ADA10C01,Yes,Yes,
2550,13536,AC9ADA10C02,Yes,Yes,
2551,15835,AC9ADA10C02,Yes,Yes,
2552,1979,AC9ADA10C02,Added,Yes,
2553,2678,AC9ADA10C02,Yes,Yes,
2554,3702,AC9ADA10C02,Yes,Yes,
2555,15835,AC9ADA10D01,Yes,Yes,
2556,16488,AC9ADA10D01,Yes,Yes,
2557,15835,AC9ADA10D02,Added,Yes,
2558,3702,AC9ADA10D02,Yes,Yes,
2559,15835,AC9ADA10E01,Yes,Yes,
2560,15836,AC9ADA10E01,Yes,Yes,
2561,16890,AC9ADA10E01,Added,Yes,
2562,1962,AC9ADA10E01,Yes,Yes,
2563,1979,AC9ADA10E01,Yes,Yes,
2564,2184,AC9ADA10E01,Yes,Yes,
2565,2197,AC9ADA10E01,Yes,Yes,
2566,255,AC9ADA10E01,Yes,Yes,
2567,273,AC9ADA10E01,Yes,Yes,
2568,278,AC9ADA10E01,Yes,Yes,
2569,3077,AC9ADA10E01,Yes,Yes,
2570,3411,AC9ADA10E01,Yes,Yes,
2571,353,AC9ADA10E01,Yes,Yes,
2572,3779,AC9ADA10E01,Yes,Yes,
2573,4370,AC9ADA10E01,Yes,Yes,
2574,4669,AC9ADA10E01,Yes,Yes,
2575,786,AC9ADA10E01,Added,Yes,
2576,1164,AC9ADA10E02,Yes,Yes,
2577,15835,AC9ADA10E02,Added,"Yes and add Dance genre/s, Dance style/s",
2578,16877,AC9ADA10E02,Added,Yes,
2579,16882,AC9ADA10E02,Added,Yes,
2580,16890,AC9ADA10E02,Added,Yes,
2581,2184,AC9ADA10E02,Yes,Yes,
2582,261,AC9ADA10E02,Yes,Yes,
2583,273,AC9ADA10E02,Yes,Yes,
2584,278,AC9ADA10E02,Yes,Yes,
2585,3702,AC9ADA10E02,Yes,"Yes and add Dance genre/s, Dance style/s",
2586,4370,AC9ADA10E02,Added,Yes,
2587,4671,AC9ADA10E02,Yes,Yes,
